ID,Shinji,Kyuji,Kyuji_Unicode,Kyuji_Unicode_with_IVS,CID
363,丘,丘,U+4E18,,
364,旧,舊,U+820A,,
365,休,休,U+4F11,,
366,吸,吸,U+5438,U+5438 U+E0101,CID+13711
367,朽,朽,U+673D,,
368,臼,臼,U+81FC,,
369,求,求,U+6C42,,
370,究,究,U+7A76,,
371,泣,泣,U+6CE3,,
372,急,急,U+6025,U+6025 U+E0101,CID+13712
373,級,級,U+7D1A,U+7D1A U+E0101,CID+13713
374,糾,糾,U+7CFE,,
375,宮,宮,U+5BAE,,
376,救,救,U+6551,,
377,球,球,U+7403,,
378,給,給,U+7D66,,
379,嗅,嗅,U+55C5,,
380,窮,窮,U+7AAE,U+7AAE U+E0101,CID+13431
381,牛,牛,U+725B,,
382,去,去,U+53BB,,
383,巨,巨,U+5DE8,U+5DE8 U+E0101,CID+13714
384,居,居,U+5C45,,
385,拒,拒,U+62D2,U+62D2 U+E0101,CID+13715
386,拠,據,U+64DA,,
387,挙,擧,U+64E7,,
388,虚,虛,U+865B,,
389,許,許,U+8A31,,
390,距,距,U+8DDD,U+8DDD U+E0101,CID+13716
391,魚,魚,U+9B5A,,
392,御,御,U+5FA1,,
393,漁,漁,U+6F01,,
394,凶,凶,U+51F6,,
395,共,共,U+5171,,
396,叫,叫,U+53EB,,
397,狂,狂,U+72C2,,
398,京,京,U+4EAC,,
399,享,享,U+4EAB,,
400,供,供,U+4F9B,,
401,協,協,U+5354,,
402,況,況,U+6CC1,,
403,峡,峽,U+5CFD,,
404,挟,挾,U+633E,,
405,狭,狹,U+72F9,,
406,恐,恐,U+6050,U+6050 U+E0101,CID+13721
407,恭,恭,U+606D,,
408,胸,胸,U+80F8,,
409,脅,脅,U+8105,,
410,強,强,U+5F3A,,
411,教,敎,U+654E,,
412,郷,鄕,U+9115,,
413,境,境,U+5883,,
414,橋,橋,U+6A4B,,
415,矯,矯,U+77EF,,
416,鏡,鏡,U+93E1,,
417,競,競,U+7AF6,,
418,響,響,U+FA69,,
419,驚,驚,U+9A5A,,
420,仰,仰,U+4EF0,,
421,暁,曉,U+66C9,,
422,業,業,U+696D,,
423,凝,凝,U+51DD,,
424,曲,曲,U+66F2,,
425,局,局,U+5C40,,
426,極,極,U+6975,,
427,玉,玉,U+7389,,
428,巾,巾,U+5DFE,,
429,斤,斤,U+65A4,,
430,均,均,U+5747,,
431,近,近,U+8FD1,U+8FD1 U+E0101,CID+13730
432,金,金,U+91D1,,
433,菌,菌,U+83CC,,
434,勤,勤,U+FA34,,
435,琴,琴,U+7434,,
436,筋,筋,U+7B4B,,
437,僅,僅,U+50C5,,
